IngressBytes,InRxmitBytes,InCongestionBytes,Connections
465,0,0,1
466555,0,0,1
64820,0,0,1
528,0,0,1
73,0,0,0
0,0,0,0
2583,0,0,0
1311,0,0,1
132,0,0,0
507,212,0,0
70,29,0,0
3338,0,0,2
1143,0,0,2
396,0,0,0
1020,0,0,0
136,0,0,0
2779,0,0,1
3044,0,0,1
368,0,0,0
0,0,0,0
5325,0,0,1
1115,0,0,1
12303,0,0,2
501537,0,0,3
428972,0,0,2
52825,0,0,2
3947,0,0,2
3285,0,0,2
3182,0,0,2
3679,0,0,2
1816,0,0,0
188,0,0,0
151,0,0,0
530,0,0,1
70,0,0,0
0,0,0,0
541,0,0,0
6316,0,0,1
3450,0,0,1
3121,0,0,1
170023,0,0,1
193670,0,0,2
382641,0,0,3
617490,0,0,3
743045,0,0,1
1120812,0,314432,3
1300466,0,43691,2
1182007,0,0,2
1229546,0,0,3
1490334,0,800620,3
1431339,0,739636,3
1073779,0,87316,2
423017,0,0,1
369963,0,0,1
436291,0,0,1
416107,0,0,1
444523,0,0,2
525989,0,0,2
1004295,0,0,3
548849,0,0,2
878440,0,0,2
762639,0,0,3
482672,0,0,1
644614,0,0,1
665317,0,0,2
677386,0,0,2
667666,0,0,2
81939,0,0,1
1076,0,0,1
1344,0,0,1
1382,0,0,1
2009,0,0,2
2624,0,0,3
2441,0,0,3
2154,0,0,3
4049,0,0,3
978,0,0,1
3250,0,0,1
2028,0,0,2
285956,0,0,3
184153,0,0,3
21204,0,0,2
1516,0,0,1
1170,0,0,1
29999,0,0,1
5549,0,0,2
5044,0,0,4
1759,0,0,2
132444,0,0,3
19439,0,0,1
675,0,0,1
832,0,0,1
87545,0,0,2
12224,0,0,1
10,0,0,0
0,0,0,0
121,0,0,0
2675,0,0,1
368,0,0,0
0,0,0,0
2583,0,0,0
734,0,0,1
263164,0,0,1
476313,0,0,2
466919,0,0,2
56387,0,0,1
226,0,0,0
895,0,0,3
556134,0,0,2
1316237,0,0,3
1228236,0,0,3
1046416,0,0,1
1056276,0,0,1
894520,0,0,1
1000020,0,0,1
821994,0,0,1
474752,0,0,1
55077,0,0,1
358,0,0,0
0,0,0,0
3752,0,0,3
67204,0,0,3
139991,0,0,2
1428931,0,866395,14
1457168,0,888477,8
1379111,0,256838,5
1294194,0,20813,4
1135733,0,0,2
1276153,0,0,2
1417551,0,0,3
1320513,0,0,4
870525,0,0,4
740509,0,0,2
873408,0,0,1
789082,0,0,1
432020,0,0,2
46898,0,0,0
248280,0,0,1
538799,0,0,2
72656,0,0,2
358,0,0,0
75,0,0,0
152714,0,0,0
21369,0,0,1
851,0,0,1
115,0,0,0
433,0,0,1
636216,0,0,4
591835,0,0,3
403077,0,0,1
186172,0,0,1
19437,0,0,0
0,0,0,0
0,0,0,0
1441,0,0,0
379,0,0,1
656,0,0,2
163,0,0,1
86,0,0,1
2848,0,0,1
394,0,0,1
226,0,0,1
31,0,0,0
2583,0,0,0
358,0,0,0
0,0,0,0
153774,0,0,1
545224,0,0,2
72791,0,0,0
75,0,0,0
86,0,0,1
205722,0,0,1
327420,0,0,2
44106,0,0,1
434,0,0,1
48719,0,0,1
837187,0,0,2
1074891,0,0,2
1074942,0,0,3
1156104,0,0,3
1387106,0,90498,4
1465917,0,437395,3
1520237,0,440285,3
1344363,0,436664,3
493484,0,53314,3
417247,0,0,2
395001,0,0,1
454203,0,0,1
544389,0,0,1
665684,0,0,1
867807,0,0,1
1031132,0,132026,3
1187828,0,18345,2
798832,0,0,2
563700,0,0,1
525114,0,0,1
309430,0,0,2
34126,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2913,0,0,2
236533,0,0,2
32810,0,0,0
253,0,0,1
614220,0,0,1
85342,0,0,0
703,0,0,1
352,0,0,1
2618,0,0,1
358,0,0,0
654,0,0,0
166,0,0,0
10,0,0,0
0,0,0,0
0,0,0,0
2658,0,0,0
959,0,0,1
233,0,0,1
20,0,0,0
179,0,0,0
1923,525,0,1
414,73,0,1
3378,0,0,1
3125,0,0,1
1345,0,0,1
1833,0,0,1
311,0,0,1
1044,0,0,3
411344,0,0,3
761150,0,0,6
698745,0,0,3
817472,0,0,2
732436,0,0,2
884238,0,0,1
932556,0,0,1
941126,0,0,3
1349480,0,0,6
1237840,0,304051,7
1433453,0,734905,6
1133681,0,96246,4
1230402,0,0,27
1300827,0,78233,45
1211171,0,542712,10
1479979,0,444808,3
1130280,0,106931,3
980319,0,7696,3
253566,0,0,1
18916,0,0,1
2048,0,0,1
867,0,0,2
2664,0,0,2
358,0,0,0
0,0,0,0
0,0,0,0
179,0,0,0
235982,0,0,1
35942,0,0,3
560,0,0,1
16,0,0,0
0,0,0,0
179,0,0,0
311884,0,0,1
77644,0,0,1
7426,0,0,1
3207,0,0,1
394,0,0,0
636,0,0,0
267,0,0,1
24,0,0,0
60504,0,0,1
454639,0,0,2
280412,0,0,1
30347,0,0,0
0,0,0,0
0,0,0,0
2583,0,0,0
3092,0,0,1
379,0,0,0
0,0,0,0
179,0,0,0
107,0,0,2
139164,0,0,2
345765,0,0,2
565644,0,0,2
693476,0,0,1
650931,0,0,2
857308,0,0,4
1250650,0,612257,4
1355148,0,110376,3
1536113,0,1321680,2
1218825,0,487408,2
974449,0,42275,3
817292,0,0,3
696115,0,0,3
1098774,0,0,3
1174785,0,134242,3
1093827,0,18653,3
1247667,0,23079,3
641322,0,3206,2
663980,0,0,2
770231,0,0,2
96567,0,0,1
3386,0,0,2
525,0,0,1
86,0,0,1
265,0,0,1
994,0,0,1
1105,0,0,1
3048,0,0,3
3063,0,0,1
368,0,0,0
151,0,0,0
199,0,0,0
575264,0,0,1
404967,0,0,1
45164,0,0,0
0,0,0,0
179,0,0,0
2787,0,0,1
383,0,0,0
330,0,0,0
45,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1313,0,0,1
1239,0,0,1
146,0,0,0
2583,0,0,0
358,0,0,0
2658,0,0,0
368,0,0,0
0,0,0,0
75,0,0,0
1143,0,0,1
157,0,0,0
0,0,0,0
383,0,0,1
2092,0,0,1
1113,0,0,1
946,0,0,1
1021,0,0,3
330610,0,0,4
736738,0,0,5
1231005,0,553593,4
1516048,0,715999,4
1516113,0,809902,3
1314027,0,703735,5
1419845,0,1022639,5
1333558,0,130445,4
1298944,0,0,4
1318178,0,0,4
448442,0,0,2
677646,0,0,2
596442,0,0,3
452261,0,0,3
399018,0,0,3
720063,0,0,3
540883,0,0,2
646156,0,0,2
555859,0,0,1
363437,0,0,1
566201,0,0,1
150254,0,0,1
10744,0,0,0
0,0,0,0
75,0,0,0
10,0,0,1
3912,0,0,1
53278,0,0,1
7448,0,0,1
45609,0,0,1
6335,0,0,0
0,0,0,0
179,0,0,0
432570,0,0,1
60103,0,0,0
0,0,0,0
0,0,0,0
2658,0,0,0
368,0,0,0
0,0,0,0
0,0,0,0
1099,0,0,0
152,0,0,0
0,0,0,0
179,0,0,0
2758,0,0,1
417036,0,0,1
57895,0,0,0
0,0,0,0
179,0,0,0
350041,0,0,3
455665,0,0,3
359140,0,0,3
42366,0,0,2
662058,0,0,1
1433183,0,0,1
1168859,0,0,1
702535,0,0,1
684467,0,0,1
623714,0,0,1
619253,0,0,3
652203,0,0,2
552733,0,0,2
846124,0,0,3
1049702,0,0,2
883394,0,0,2
740651,0,0,1
837781,0,0,1
801973,0,112041,2
864765,0,15568,1
761494,0,0,1
941789,0,0,2
767937,0,0,1
845698,0,0,1
618333,0,0,1
72011,0,0,1
46629,0,0,3
522178,0,0,2
422638,0,0,2
48769,0,0,0
253,0,0,0
639,0,0,1
990,0,0,1
125,0,0,0
287808,0,0,0
65213,0,0,1
3504,0,0,0
179,0,0,0
318075,0,0,1
302489,0,0,2
35890,0,0,0
2583,0,0,0
358,0,0,0
5810,0,0,1
958,0,0,1
96,0,0,1
10,0,0,0
210015,0,0,0
185370,0,0,1
21957,0,0,1
287891,0,0,1
418320,0,0,1
52568,0,0,0
0,0,0,0
0,0,0,0
2734,0,0,1
559,0,0,1
1680,0,0,3
51364,0,0,2
591481,0,0,2
833297,0,0,2
1252078,0,0,2
1086530,0,0,4
1274543,0,598258,3
1475630,0,1014269,7
1258754,0,1027042,6
1621741,0,969539,4
1418702,0,189155,4
1170714,0,298070,4
577495,0,40031,3
658068,0,0,3
709552,0,0,2
1026939,0,0,2
880873,0,0,3
443757,0,0,1
363160,0,0,1
338548,0,0,1
431202,0,0,2
603095,0,0,2
659137,0,0,2
503508,0,0,1
58709,0,0,0
0,0,0,0
75,0,0,0
10,0,0,0
0,0,0,0
2913,0,0,2
190266,0,0,2
26501,0,0,1
990,0,0,1
30756,0,0,1
4452,0,0,1
402,0,0,1
108643,0,0,1
15959,0,0,2
1525,0,0,1
677344,0,0,1
94091,0,0,0
75,0,0,0
86,0,0,1
188,0,0,1
99,0,0,1
10,0,0,0
1329,0,0,0
184,0,0,0
330,0,0,1
113263,0,0,1
282708,0,0,1
37097,0,0,0
0,0,0,0
0,0,0,0
253,0,0,0
214,0,0,1
458,0,0,1
135,0,0,0
238213,0,0,1
1195966,0,0,2
1415763,0,0,1
1393179,0,0,1
1542549,0,0,1
